Pair,Regime,median_usd_mm,mean_usd_mm,n_days
Kraken BTC/USD,Pre-SVB,59.49844720434869,62.847694544120756,9
Kraken BTC/USD,Crisis,160.3603589473689,168.59623627963873,3
Kraken BTC/USD,Post-SVB,203.7694389820472,234.25483135057058,9
Kraken BTC/USDT,Pre-SVB,5.5525328830017155,5.856060528177643,9
Kraken BTC/USDT,Crisis,13.840600917988727,19.020670692553196,3
Kraken BTC/USDT,Post-SVB,17.36975270245827,19.18873386579523,9
Kraken BTC/USDC,Pre-SVB,2.5558868710467064,3.4272396132659995,9
Kraken BTC/USDC,Crisis,15.654838800356858,38.81722409557552,3
Kraken BTC/USDC,Post-SVB,5.519397996427193,6.680138178710193,9
Binance BTC/USDT,Pre-SVB,52.444510728832206,48.425644672356235,9
Binance BTC/USDT,Crisis,73.92318979032899,82.84601158638824,3
Binance BTC/USDT,Post-SVB,71.45730279727478,85.23670017678405,9
Coinbase BTC/USD,Pre-SVB,239.07078112085355,263.6895888740422,9
Coinbase BTC/USD,Crisis,407.2657692045879,478.4963260070954,3
Coinbase BTC/USD,Post-SVB,664.4646444205862,715.0157656911437,9
