Regime,Series,mean_bps_per_hr,std_bps_per_hr,n_obs
Pre-SVB,kraken_btcusd,33.09899430054978,25.35892893746312,12900
Pre-SVB,kraken_btcusdt,38.27736130682949,28.388881777640503,7877
Pre-SVB,kraken_btcusdc,51.88209068239672,34.25466486384337,3060
Pre-SVB,binance_btcusdt,34.99024700520313,23.900618002750445,12900
Pre-SVB,coinbase_btcusd,35.227670905776165,25.399074268160888,12568
Crisis,kraken_btcusd,62.90473005437501,35.961107069629854,4320
Crisis,kraken_btcusdt,66.62341658585989,37.131040728054366,4009
Crisis,kraken_btcusdc,136.99125833048345,128.62807972802892,4105
Crisis,binance_btcusdt,63.240387781174746,32.92208940430784,4320
Crisis,coinbase_btcusd,65.23898183592244,35.15363212391701,4320
Post-SVB,kraken_btcusd,77.72916101692633,41.705887196356805,12892
Post-SVB,kraken_btcusdt,84.38297566085846,43.63821492920149,11015
Post-SVB,kraken_btcusdc,92.43564978048884,46.70021810952459,7798
Post-SVB,binance_btcusdt,79.98955029438508,39.07825402011855,12959
Post-SVB,coinbase_btcusd,78.89672282399461,41.19682453929858,12959
